Name,Date & Time,Location,Type,Region
Seattle Kraken vs. Edmonton Oilers,3/2/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Emerald City Comic Con,2/29/2024 through 3/3/2024, Seattle Convention Center,Festivals & Special Events,Downtown
Tacoma Stars vs. Harrisburg Heat,3/3/2024, accesso ShoWare Center,Music,South
Calidore Quartet & Abeo Quartet,3/8/2024, 415 Westlake,Music,Queen Anne / Seattle Center
Holding / Movement,3/8/2024, Benaroya Hall,Music,Downtown
Seattle Kraken vs. Winnipeg Jets,3/8/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Bach St. John Passion,3/7/2024 through 3/9/2024, Benaroya Hall,Music,Downtown
Helene Grimaud,3/9/2024, Meany Center for the Performing Arts,Music,University District
Positive Fragmentation,Now through 3/10/2024, Bellevue Arts Museum,Museums,Bellevue / Eastside
Antonio M. Gomez: LINEAJES,Now through 3/10/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Soren Solkaer: Sort Sol,Now through 3/10/2024, National Nordic Museum,Museums,Fremont / Ballard
Luchadora!,2/22/2024 through 3/10/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024, Benaroya Hall,Readings & Lectures,Downtown
Seattle Kraken vs. Vegas Golden Knights,3/12/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Washington Capitals,3/14/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024, Meany Center for the Performing Arts,Music,University District
Sibelius & Nielsen,3/14/2024 through 3/16/2024, Benaroya Hall,Music,Downtown
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024, accesso ShoWare Center,Sports,South
Seattle Kraken vs. Nashville Predators,3/16/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Native Portraiture: Power and Perception,Now through 3/17/2024, Tacoma Art Museum,Museums,South
Places to Call Home: Settlements in the West,Now through 3/17/2024, Tacoma Art Museum,Museums,South
Nobody Lives Here,Now through 3/17/2024, Wing Luke Museum,Museums,International District
Rootabaga Country,3/8/2024 through 3/17/2024, Opera Center,Music,Queen Anne / Seattle Center
Seattle Kraken vs. Buffalo Sabres,3/18/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Tacoma Stars vs. Empire Strykers,3/23/2024, accesso ShoWare Center,Sports,South
Something’s Afoot,3/1/2024 through 3/24/2024, The 5th Avenue Theatre,Theatre,Downtown
One Thousand Pieces,3/15/2024 through 3/24/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024, Benaroya Hall,Music,Downtown
Seattle Kraken vs. Montreal Canadiens,3/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Anaheim Ducks,3/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Anaheim Ducks,3/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Tim McGraw,3/29/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Harold and the Purple Crayon,3/23/2024 through 3/30/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Seattle Kraken vs. Dallas Stars,3/30/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Illuminate: Glass Art for Early Learners,Now through 3/31/2024, Museum of Glass,Museums,South
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024, Museum of History & Industry,Museums,Queen Anne / Seattle Center
Sanctuary City,3/1/2024 through 3/31/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
Stew,3/15/2024 through 3/31/2024, ACT Theatre,Theatre,Downtown
Luis Miguel,4/4/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Taylor Raven and Duke Kim in Recital,4/4/2024, Opera Center,Music,Queen Anne / Seattle Center
Copland Appalachian Spring,4/4/2024 through 4/6/2024, Benaroya Hall,Music,Downtown
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024, National Nordic Museum,Museums,Fremont / Ballard
Beetlejuice,4/2/2024 through 4/7/2024, The Paramount Theatre,Theatre,Downtown
Seattle Kraken vs. Arizona Coyotes,4/9/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. San Jose Sharks,4/11/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024, Benaroya Hall,Music,Downtown
